f_name,intended_ratio,experiment,low_signal
190511_NUDT7A_p026_NUDT7A_p026_0_000064_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_0_00032_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_0_0016_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_0_008_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_0_04_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_0_2_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_1_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_gly_0_000064_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_gly_0_00032_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_gly_0_0016_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_gly_0_008_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_gly_0_04_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_gly_0_2_mg_ml,0.0,signal_suppression,False
190511_NUDT7A_p026_NUDT7A_p026_gly_1_mg_ml,0.0,signal_suppression,False
